alias,prod,test
analisi,https://analisi.cat,https://cory-analisi.precarietat.net
anuarioiet,https://revistes.uab.cat/anuarioiet,https://cory-revistes.precarietat.net/anuarioiet
anuariolopedevega,https://revistes.uab.cat/anuariolopedevega,https://cory-revistes.precarietat.net/anuariolopedevega
arqueotext,https://revistes.uab.cat/arqueotext,https://cory-revistes.precarietat.net/arqueotext
athenea,https://atheneadigital.net,https://cory-athenea.precarietat.net
jtl3,https://revistes.uab.cat/jtl3,https://cory-revistes.precarietat.net/jtl3
brumal,https://revistes.uab.cat/brumal,https://cory-revistes.precarietat.net/brumal
catjl,https://revistes.uab.cat/catJL,https://cory-revistes.precarietat.net/catJL
ciencies,https://revistes.uab.cat/ciencies,https://cory-revistes.precarietat.net/ciencies
clil,https://revistes.uab.cat/clil,https://cory-revistes.precarietat.net/clil
dag,https://dag.revista.uab.cat,https://cory-dag.precarietat.net
dea,https://revistes.uab.cat/dea,https://cory-revistes.precarietat.net/dea
da,https://revistes.uab.cat/da,https://cory-revistes.precarietat.net/da
derechoygenero,https://derechoygenero.uab.es,https://cory-derechoygenero.precarietat.net
doblele,https://revistes.uab.cat/doblele,https://cory-revistes.precarietat.net/doblele
educar,https://educar.uab.cat,https://cory-educar.precarietat.net
elcvia,https://elcvia.cvc.uab.cat,https://cory-elcvia.precarietat.net
enrahonar,https://revistes.uab.cat/enrahonar,https://cory-revistes.precarietat.net/enrahonar
ensciencias,https://ensciencias.uab.cat,https://cory-ensciencias.precarietat.net
faventia,https://revistes.uab.cat/faventia,https://cory-revistes.precarietat.net/faventia
fraseolex,https://revistes.uab.cat/fraseolex,https://cory-revistes.precarietat.net/fraseolex
grafica,https://revistes.uab.cat/grafica,https://cory-revistes.precarietat.net/grafica
grafowp,https://revistes.uab.cat/grafowp,https://cory-revistes.precarietat.net/grafowp
indialogs,https://revistes.uab.cat/indialogs,https://cory-revistes.precarietat.net/indialogs
isogloss,https://revistes.uab.cat/isogloss,https://cory-revistes.precarietat.net/isogloss
jhsgl,https://revistes.uab.cat/jhsgl,https://cory-revistes.precarietat.net/jhsgl
karanos,https://revistes.uab.cat/karanos,https://cory-revistes.precarietat.net/karanos
languesparole,https://revistes.uab.cat/languesparole,https://cory-revistes.precarietat.net/languesparole
locus,https://revistes.uab.cat/locus,https://cory-revistes.precarietat.net/locus
manuscrits,https://revistes.uab.cat/manuscrits,https://cory-revistes.precarietat.net/manuscrits
medievalia,https://revistes.uab.cat/medievalia,https://cory-revistes.precarietat.net/medievalia
mitologias,https://revistes.uab.cat/mitologias/index,https://cory-revistes.precarietat.net/mitologias/index
nuevasdeindias,https://revistes.uab.cat/nuevasdeindias,https://cory-revistes.precarietat.net/nuevasdeindias
orsis,https://revistes.uab.cat/orsis,https://cory-revistes.precarietat.net/orsis
papers,https://papers.uab.cat,https://cory-papers.precarietat.net
periferia,https://revistes.uab.cat/periferia,https://cory-revistes.precarietat.net/periferia
periodicum,https://revistes.uab.cat/periodicum,https://cory-revistes.precarietat.net/periodicum
quadernsiee,https://revistes.uab.cat/quadernsiee,https://cory-revistes.precarietat.net/quadernsiee
quadernsitalia,https://revistes.uab.cat/quadernsitalia,https://cory-revistes.precarietat.net/quadernsitalia
quadernspsicologia,https://quadernsdepsicologia.cat,https://cory-quadernspsicologia.precarietat.net
quaderns,https://revistes.uab.cat/quaderns,https://cory-revistes.precarietat.net/quaderns
qp,https://www.questionespublicitarias.es,https://cory-qp.precarietat.net
recmus,https://revistes.uab.cat/recmus,https://cory-revistes.precarietat.net/recmus
redes,https://revistes.uab.cat/redes,https://cory-revistes.precarietat.net/redes
regroc,https://revistes.uab.cat/regroc,https://cory-revistes.precarietat.net/regroc
rubrica,https://revistes.uab.cat/rubrica,https://cory-revistes.precarietat.net/rubrica
rutacom,https://revistes.uab.cat/rutacom,https://cory-revistes.precarietat.net/rutacom
scriptum,https://scriptum.uab.cat,https://cory-scriptum.precarietat.net
studiaaurea,https://studiaaurea.com,https://cory-studiaaurea.precarietat.net
tdevorado,https://revistes.uab.cat/tdevorado,https://cory-revistes.precarietat.net/tdevorado
tradumatica,https://revistes.uab.cat/tradumatica,https://cory-revistes.precarietat.net/tradumatica
treballsarqueologia,https://revistes.uab.cat/treballsarqueologia,https://cory-revistes.precarietat.net/treballsarqueologia
interasia,https://revistes.uab.cat/interasia,https://cory-revistes.precarietat.net/interasia
